Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
10AF_S5_R1_001	33.0	91.0	396.5	1108.5	1573.0	2478.5	5174.5	9404.0	11843.0	15602.5	25644.0	41559.0	51192.0	64216.5	91253.5	121360.5	137455.0	158051.0	202551.0	255594.0	284733.0	320308.0	402441.0	503308.0	557617.0	609942.0	703282.0	765860.0	787423.0	792535.5	792311.0	774522.5	762071.0	751171.0	732582.5	721167.5	717441.0	713289.0	699447.5	667697.5	645637.0	617235.0	558368.0	496800.5	465698.0	434868.0	374822.0	319201.0	292796.0	266365.5	213515.5	162397.5	137699.0	116857.5	82492.0	59223.5	49479.0	42374.0	29576.5	20142.5	16401.0	13877.0	9856.0	7123.5	5888.0	4924.0	3308.0	2242.0	1828.0	1550.0	1068.0	741.5	619.0	554.5	453.0	363.0	310.0	250.5	160.5	101.5	73.0	66.5	52.0	39.5	35.0	33.5	34.5	31.5	26.0	20.5	13.5	10.5	9.0	8.5	6.5	5.0	5.0	3.0	2.0	3.5	4.0
10AF_S5_R1_001_val_1	76.0	173.5	581.0	1461.0	2383.5	4010.5	7446.5	11525.0	15011.5	21123.5	32028.0	46720.5	59791.5	79086.5	105175.5	133063.5	161053.5	194297.0	238866.0	290488.5	336976.5	384063.0	460971.0	561822.5	639805.5	709277.5	799980.0	871242.0	905802.0	921011.5	916220.0	890246.0	874370.0	857622.0	828527.5	805084.5	792057.0	775925.5	744217.5	704157.0	665549.5	617139.0	550818.0	489082.5	447324.5	404705.5	352535.5	303057.5	267694.5	233175.5	192303.0	154772.0	123473.0	101596.5	80834.0	65178.0	54496.0	46380.0	38229.5	30805.5	25183.5	20465.0	16588.5	13645.0	11310.0	9520.0	7789.0	6377.5	5328.5	4517.5	3757.0	3122.5	2627.5	2198.5	1815.5	1521.5	1303.5	1113.0	912.5	720.0	585.5	485.0	392.0	305.5	240.0	202.0	165.5	124.0	93.0	69.5	46.5	34.5	32.5	27.0	21.0	20.0	19.5	18.0	12.5	6.0	4.0
10AF_S5_R2_001	27813.0	15634.5	5815.5	9401.0	10627.0	11675.5	14022.5	18315.5	21310.0	26355.0	38566.0	54296.5	62861.0	74158.5	99791.0	132720.5	151315.0	176608.5	235306.0	311947.0	355184.0	407306.0	518103.5	624841.5	672904.0	715296.5	790265.5	844580.0	866318.0	882187.5	902035.0	902528.5	899044.0	884681.0	847982.5	800281.0	774915.0	743231.5	668026.5	574525.5	524546.0	480464.0	399272.0	327317.0	292472.0	263233.0	209636.5	166367.5	147456.0	130702.0	99647.0	73339.5	61333.0	52941.5	37882.5	27074.5	22934.0	20481.5	16100.0	12640.0	11109.0	10195.5	8503.0	7040.5	6357.0	5991.0	5198.0	4418.0	4065.0	3740.5	3228.5	2869.5	2698.0	2554.5	2344.0	2136.0	1995.0	1950.5	1849.5	1766.0	1739.0	1725.0	1633.5	1540.5	1525.0	1501.5	1438.5	1431.5	1464.0	1452.5	1434.0	1511.0	1595.0	1672.5	1817.5	2117.5	2350.0	2665.0	4091.5	18402.5	31602.0
10AF_S5_R2_001_val_2	2518.0	3138.0	5113.0	7369.0	9186.0	12790.5	18908.5	23406.0	29336.5	41131.0	56222.0	68287.0	81906.5	105802.5	129028.5	153940.5	191721.0	244711.5	299730.0	357351.5	430950.5	500742.0	568761.5	651685.0	722928.5	766085.5	806328.5	851606.0	882696.5	897737.0	909982.5	910865.0	898856.5	881767.5	848829.5	797852.0	756951.5	715341.5	643291.0	573048.0	514382.5	451501.5	383663.0	328328.0	292114.5	249926.5	211548.0	178158.5	148677.5	123933.5	100322.5	80754.5	64028.0	50600.0	38679.5	30776.0	24187.5	20575.0	17045.0	13669.0	11578.0	10020.5	8761.5	7521.5	6631.5	5855.0	4911.5	4161.0	3694.5	3309.0	2880.5	2568.5	2289.5	2016.5	1813.5	1655.5	1530.0	1425.5	1312.5	1230.0	1143.5	1020.5	911.5	811.5	741.5	706.0	668.5	653.0	647.5	655.0	728.5	856.5	986.5	1203.5	1679.0	2488.5	3386.5	4499.0	11396.5	34722.0	51860.0
10P_ER_S13_R1_001	58.0	112.5	398.0	1090.0	1551.0	2411.0	5038.5	9330.0	11854.0	15668.5	25850.5	41601.5	50985.0	63666.0	89612.5	117619.0	132360.0	150454.0	190842.5	240692.0	268247.0	301855.5	377335.0	466311.0	513416.0	558344.0	636654.0	688482.5	706929.0	709794.0	707963.0	694316.5	685366.0	677511.0	664527.0	654544.0	649690.0	645150.0	631722.5	603634.5	584434.0	558503.0	504313.5	447300.0	418545.0	390677.0	336355.5	286477.5	263053.0	238627.5	189632.0	143380.0	121698.0	103473.0	72471.0	51103.5	42513.0	35798.5	24283.0	16511.0	13540.0	11334.5	7660.0	5277.0	4363.0	3634.0	2426.5	1655.0	1362.0	1137.5	769.5	551.0	476.0	401.0	295.5	249.0	233.0	188.5	115.0	65.0	44.0	41.5	31.5	23.5	23.0	24.5	21.0	15.5	15.0	11.5	7.0	7.5	9.0	6.5	5.0	4.0	2.0	2.5	5.0	5.0	3.0
10P_ER_S13_R2_001	25281.0	14122.5	5119.0	8143.5	9013.0	9668.5	11628.0	15908.5	18885.0	23805.5	35645.5	50502.5	58440.0	68719.0	92360.0	123847.5	141973.0	165194.5	219252.5	289727.0	329365.0	376133.0	473422.0	570904.5	617866.0	655398.0	721729.0	769399.5	788271.0	801037.5	817419.0	817692.0	814350.0	800736.5	767193.5	724806.0	702348.0	673471.5	604716.5	519748.5	474659.0	434479.5	360144.0	294722.5	263457.0	236736.0	187910.0	147960.0	130115.0	115676.0	87935.0	64124.0	53615.0	46218.0	33101.5	23603.5	19825.0	17277.0	13198.5	10579.0	9490.0	8473.0	6840.0	5793.5	5363.0	4952.0	4229.0	3568.0	3219.0	2973.5	2562.0	2269.5	2143.0	2012.0	1848.0	1687.5	1560.0	1501.5	1394.0	1325.5	1306.0	1267.0	1233.5	1161.5	1084.0	1054.5	1014.5	1030.0	1056.0	1050.5	1074.0	1095.5	1088.0	1141.5	1277.0	1467.5	1576.0	1846.5	2880.5	12740.5	21837.0
10R_SG_S19_R1_001	41.0	96.0	422.0	1276.0	1859.0	3063.5	6172.5	10705.0	13333.0	17808.0	29487.5	47454.5	58217.0	71859.0	100606.5	133089.5	150467.0	171490.0	218263.5	275519.0	307024.0	345702.5	433889.0	537994.5	592592.0	645975.0	742955.0	807833.5	829115.0	832585.5	829403.0	810268.0	797786.0	784252.5	763553.0	750496.0	744605.0	738778.5	722906.0	689958.5	667057.0	637934.5	576172.0	511017.5	478503.0	446060.5	384541.5	328193.0	300921.0	272367.0	217158.0	164811.5	139120.0	117409.0	81013.0	56202.5	46077.0	38591.5	25617.5	16294.5	12460.0	10319.0	6628.0	4175.5	3273.0	2627.5	1653.0	1064.0	804.0	658.5	422.5	273.0	214.0	185.0	128.5	80.5	60.0	54.0	38.5	28.5	28.0	23.5	14.5	11.0	12.0	11.5	11.0	6.5	2.0	3.0	2.5	2.5	4.0	5.5	4.5	2.5	3.0	3.5	5.0	4.5	3.0
10R_SG_S19_R2_001	28843.0	16130.0	6027.0	9987.0	11337.0	12254.0	14304.0	18410.0	21383.0	26855.5	39999.5	57084.0	66497.0	78374.5	106122.0	142878.5	163765.0	190531.0	252793.0	333797.5	379306.0	435331.5	549689.5	662324.5	716627.0	761447.0	839108.0	893224.5	914500.0	929198.0	947270.0	946896.0	943148.0	926375.5	887555.5	836234.0	806960.0	772806.5	690517.5	591274.5	540167.0	494512.5	410049.0	333979.0	296718.0	265704.5	209127.5	164489.0	145414.0	128727.5	97108.0	70300.0	58425.0	49962.0	34938.5	24257.0	20136.0	17471.0	12986.5	10074.5	8982.0	8074.5	6581.0	5447.0	4899.0	4631.5	4069.0	3482.5	3191.0	2976.5	2656.0	2398.5	2247.0	2190.0	2062.0	1857.5	1724.0	1666.0	1592.5	1546.0	1515.0	1485.0	1416.5	1392.0	1406.0	1367.0	1371.5	1433.0	1451.0	1437.0	1455.0	1580.5	1674.0	1696.0	1802.0	2094.0	2302.0	2702.5	4275.5	19397.0	33346.0
11P_DS_S14_R1_001	44.0	88.0	353.5	983.5	1392.0	2132.5	4536.0	8889.5	11580.0	15045.0	24647.0	40008.5	49233.0	61010.0	85378.0	111880.5	125792.0	143366.0	182142.5	228353.5	253362.0	285387.0	357122.0	442428.5	488025.0	531126.0	606636.5	656716.0	674386.0	679258.0	679972.5	669577.0	663339.0	657970.5	648975.0	643062.5	640777.0	636944.0	626249.5	602328.5	585269.0	562420.5	515082.0	463598.0	436604.0	410685.0	358547.5	309211.5	286094.0	261134.5	212179.0	165292.5	142402.0	122846.0	89531.5	65460.5	55148.0	47059.5	32802.0	22501.5	18370.0	15721.0	11309.0	8140.0	6734.0	5727.5	4020.5	2832.5	2345.0	1984.0	1390.0	1024.5	892.0	772.0	586.5	472.0	423.0	366.5	265.0	172.0	124.0	103.5	67.5	45.5	39.0	41.5	36.0	28.0	28.0	24.0	14.5	12.0	15.0	14.0	8.0	3.5	4.0	6.0	6.0	4.0	4.0
